A.Mullally, Mullally, Leicestershire, 10
P.C.R.Tufnell, Tufnell, Middlesex, 5
D.E.Malcolm, Malcolm, Derbyshire, 11
P.J.Martin, Martin, Lancashire, 10
A.R.Caddick, Caddick, Somerset, 10
---
R.C.Russell, Russell, Gloucestershire, 3
S.Rhodes, Rhodes, Worcestershire, 3
W.K.Hegg, Hegg, Lancashire, 3
===
India, India
1,9,2,3,4,23,10,15,16,17,18
---
A.D.Jadeja, Jadeja, Haryana, 0
N.S.Sidhu, Sidhu, Punjab, 1
V.G.Kambli, Kambli, Bombay, 1
*M.A.Azharrudin, Azharuddin, Hyderabad, 2
W.V.Raman, Raman, Tamil Nadu, 1
V.Rathour, Rathour, Punjab, 2
R.Dravid, Dravid, Karnataka, 2
V.S.Laxman, Laxman, Hyderabad, 2
---
S.R.Tendulkar, Tendulkar, Bombay, 4
M.Prabhakar, Prabhakar, Delhi, 8
S.C.Ganguly, Ganguly, Bengal, 2
D.J.Johnson, Johnson, Karnataka, 4
A.Jadeja, Jadeja, Haryana, 4
U.Chatterjee, Chatterjee, Bengal, 5
---
J.Srinath, Srinath, Karnataka, 10
A.R.Kumble, Kumble, Karnataka, 5
B.K.V.Prasad, Prasad, Karnataka, 9
S.L.V.Raju, Raju, Hyderabad, 5
R.R.Singh, Singh, Tamil Nadu, 9
S.B.Joshi, Joshi, Karnataka, 5
S.A.Ankola, Ankola, Maharashtra, 10
P.Vaidya, Vaidya, Bengal, 9
---
N.R.Moniga, Mongia, Baroda, 3
V.Yadav, Yadav, Haryana, 3
K.S.More, More, Baroda, 3
===
New Zealand, New Zealand
1,2,3,4,9,23,10,15,16,17,18
---
C.M.Spearman, Spearman, Auckland, 0
N.J.Astle, Astle, Canterbury, 0
S.P.Flemming, Flemming, Canterbury, 1
R.G.Twose, Twose, Wellington, 2
M.J.Greatbatch, Greatbatch, 2
M.J.Haslam, Haslam, Auckland, 2
M.D.Crowe, Crowe, Wellington, 2
M.W.Douglas, Douglas, Wellington, 2
---
C.L.Cairns, Cairns, Canterbury, 4
C.Z.Harris, Harris, Canterbury, 4
J.T.C.Vaughan, Vaughan, Auckland, 8
G.R.Loveridge, Loveridge, Central Districts, 5
G.I.Allot, Allot, Canterbury, 10
M.N.Hart, Hart, Northern Districts, 5
---
S.A.Thomson, Thomson, Northern Districts, 5
G.R.Larsen, Larsen, Wellington, 8
D.J.Nash, Nash, Otago, 8
D.K.Morrison, Morrison, Auckland, 10
D.N.Patel, Patel, Auckland, 5
R.J.Kennedy, Kennedy, Otago, 8
S.B.Doull, Doull, Northern Districts, 8
K.P.Walmsley, Walmsley, Aukland, 10
---
*L.K.Germon, Germon, Canterbury, 3
A.Parore, Parore, Auckland, 3
B.A.Young, Young, Northern Districts, 3
===
Pakistan, Pakistan
1,4,11,10,4,23,9,12,16,17,15
---
Saeed Anwar, Anwar, ADBP, 0
Salim Elahi, Elahi, Lahore, 0
Ramiz Raja, Raja, Lahore, 1
Ijaz Ahmed, Ahmed, Habib Bank, 1
Hasan Raza, Raza, Unknown, 2
Shadab Kabir, Kabir, Unknown, 0
Sohail Jaffer, Jaffer, Unknown, 1
Azam Khan, Khan.A, Karachi, 2
---
Shahid Afridi, Afridi, Karachi, 5
Aamir Sohail, Sohail, Habib Bank, 5
Salim Malik, Malik, Habib Bank, 8
Wasim Akram, Wasim, PIA, 11
Inzamam-Ul-Haq, Inzamam, United Bank, 2
Basit Ali, Ali, United Bank, 5
---
Waqar Younis, Waqar, United Bank, 11
Azhar Mahmood, Mahmood, Islamabad, 10
Saqlain Mushtaq, Saqlain, Islamabad, 5
Shahid Nazir, Nazir, Unknown, 10
Abdul Razzak, Razzak, Unknown, 10
Mohammad Zahid, Zahid, PIA, 10
Aqib Javed, Javed, Islamabad, 10
Mushtaq Ahmed, Mushtaq, United Bank, 5
---
Moin Khan, Khan, PIA, 3
Rashid Latif, Latif, United Bank, 3
Rafaqat Ali, Ali, Karachi, 3
===
South Africa, South Africa
1,2,4,3,9,23,10,11,15,16,17
---
A.C.Hudson, Hudson, Natal, 0
G.Kirsten, Kirsten, Western Province, 0
D.J.Cullinan, Cullinan, Transvaal, 1
A.M.Bacher, Bacher, Transvaal, 1
J.H.Kallis, Kallis, Western Province, 2
J.N.Rhodes, Rhodes, Natal, 2
H.H.Gibbs, Gibbs, Western Province, 2
J.B.Commins, Commins, Western Province, 1
---
*W.J.Cronje, Cronje, Orange Free State, 1
B.M.McMillan, McMillan, Western Province, 3
S.M.Pollock, Pollock, Natal, 10
N.Boje, Boje, Orange Free State, 5
D.N.Crookes, Crookes, Natal, 5
R.P.Snell, Snell, Transvaal, 9
---
P.L.Symcox, Symcox, Natal, 5
C.R.Matthews, Matthews.C, Western Province, 10
A.A.Donald, Donald, Orange Free State, 11
L.Klusener, Klusener, Natal, 10
P.R.Adams, Adams, Western Province, 5
P.S.de Villiers, de Villiers, Northern Transvaal, 10
A.P.Kuiper, Kuiper, Western Province, 9
S.D.Jack, Jack, Transvaal, 11
---
D.J.Richardson, Richardson, Eastern Province, 3
S.J.Palframan, Palframan, Border, 3
P.J.R.Steyn, Steyn, Orange Free State, 3
===
Sri Lanka, Sri Lanka
1,9,2,10,4,23,3,15,16,17,18
---
A.P.Gurusinha, Gurusinha, Western Province City, 1
R.S.Mahanama, Mahanama, Western Province North, 1
*A.Ranatunga, Ranatunga, Western Province North, 2
H.P.Tillekeratne, Tillekeratne, Southern Districts, 2
S.Ranatunga, Ranatunga, Western Province North, 2
M.C.Mendis, Mendis, Colts, 1
M.S.Atapattu, Atapattu, Sinhalese SC, 1
P.B.Dassanayake, Dassanayake, Colts, 1
---
S.T.Jayasuriya, Jayasuriya, Southern Province, 5
P.A.de Silva, de Silva.P, Western Province North, 2
U.C.Hathurusinghe, Hathurusinghe, Western Province City, 9
E.A.Upashantha, Upashantha, North Western Province, 10
U.U.Chandana, Chandana, Tamil Union, 5
J.C.Gamage, Gamage, Galle, 10
---
H.D.P.K.Dharmasena, Dharmasena, Western Province City, 5
W.P.U.C.J.Vaas, Vaas, Western Province North, 9
M.Muralitharan, Muralitharan, Central Province, 5
S.C.de Silva, de Silva.S, 10
K.J.Silva, Silva.K, Western Province South, 5
K.R.Pushpakumara, Pushpakumara, Western Province South, 10
G.P.Wickremasinghe, Wick'singhe, Sinhalese SC, 10
M.Munasinghe, Munasinghe, Western Province North, 10
---
R.S.Kaluwitharana, Kaluwitharana, Western Province South, 3
C.I.Dunusinghe, Dunusinghe, Western Province North, 3
P.B.Dassanayake, Dassanayake, Central Province, 3
===
West Indies, West Indies
1,2,3,9,10,23,4,19,15,16,17
---
S.L.Campbell, Campbell, Barbados, 0
R.G.Samuels, Samuels, Jamaica, 0
B.C.Lara, Lara, Trinidad, 1
J.C.Adams, Adams, Jamaica, 2
R.I.C.Holder, Holder, Barbados, 1
J.R.Murray, Murray, Windward Islands, 1
R.B.Richardson, Richardson, Leeward Islands, 1
A.F.G.Griffith, Griffith, Barbados, 8
---
C.L.Hooper, Hooper, Guyana, 4
S.Chanderpaul, Chanderpaul, Guyana, 2
A.C.Cummins, Cummins, Barbados, 4
P.V.Simmons, Simmons, Trinidad, 8
V.C.Drakes, Drakes, Barbados, 10
K.L.T.Arthurton, Arthurton, Leeward Islands, 2
---
K.C.G.Benjamin, Benjamin, Leeward Islands, 11
C.E.L.Ambrose, Ambrose, Leeward Islands, 11
*C.A.Walsh, Walsh, Jamaica, 11
N.A.M.McLean, McLean, Winward Islands, 11
I.R.Bishop, Bishop, Trinidad, 11
O.D.Gibson, Gibson, Barbados, 10
R.A.Harper, Harper, Guyana, 5
C.E.Cuffy, Cuffy, Windward Islands, 11
---
C.O.Browne, Browne, Barbados, 3
J.R.Murray, Murray, Windward Islands, 3
R.D.Jacobs, Jacobs, Leeward Islands, 3
===
Zimbabwe, Zimbabwe
1,2,24,3,9,23,4,16,15,17,19
---
G.W.Flower, Flower.G, Mashonaland, 0
A.C.Waller, Waller, Mashonaland CD, 2
C.N.Evans, Evans, Mashonaland U24, 2
*A.D.R.Campbell, Campbell, Mashonaland CD, 1
S.G.Davies, Davies, Mashonaland, 2
S.V.Carlisle, Carlisle, Mashonaland U24, 1
I.P.Butchart, Butchart, Mashonaland CD, 2
C.B.Wishart, Wishart, Mashonaland U24, 2
---
G.J.Whittal, Whittal, Matebeleland, 1
A.R.Whittal, Whittal, Cambridge, 5
M.G.Burmester, Burmester, Mashonaland, 8
E.Matambanadzo, Mat'banadzo, Mashonaland, 9
H.R.Olonga, Olonga, Matebeleland, 11
M.Mbangwa, Mbangwa, Matebeleland, 10
---
H.H.Streak, Streak, Matebeleland, 10
P.A.Strang, Strang.P, Mashonaland CD, 5
E.A.Brandes, Brandes, Mashonaland CD, 10
A.C.I.Lock, Lock, None, 10
J.A.Rennie, Rennie, Matebeleland, 9
S.G.Peall, Peall, Mashonaland CD, 5
D.H.Brain, Brain, Mashonaland, 9
B.C.Strang, Strang.B, Mashonaland CD, 10
---
A.Flower, Flower.A, Mashonaland, 3
D.L.Houghton, Houghton, Mashonaland, 3
W.R.James, James.W, Matebeleland, 3
END
